 ,Date,Observers,Note,Phase,Flowers on Ground (0-4),Nuts on Tree (0-4)?,Nuts on Ground?,% Canopy w/ Leaves,% of Leaves Green,,
20,11/07/2017,ENI,,N,0,3,No,NA,NA,,
21,11/07/2017,ENI,,N,0,3,No,NA,NA,,
22,11/07/2017,ENI,,N,0,3,No,NA,NA,,
23,11/07/2017,ENI,Flagged on right of trail,N,0,2,No,NA,NA,,
24,11/07/2017,ENI,,NA,NA,NA,No,NA,NA,,
25,11/07/2017,ENI,,N,0,2,No,NA,NA,,
26,11/07/2017,ENI,,N,0,2,No,NA,NA,,
27,11/07/2017,ENI,,N,0,2,No,NA,NA,,
28,11/07/2017,ENI,Flagged on right of trail,NA,NA,NA,No,NA,NA,,
29,11/07/2017,ENI,Flagged on left of trail,N,0,2,No,NA,NA,,
30,14/07/2017,ENI,,N,0,2,No,NA,NA,,
31,14/07/2017,ENI,,N,0,2,No,NA,NA,,
32,14/07/2017,ENI,,N,0,2,No,NA,NA,,
33,14/07/2017,ENI,Fire-scarred,N,0,2,No,NA,NA,,
34,14/07/2017,ENI,,N,0,2,No,NA,NA,,
40,27/06/2017,ENI,Fire-scarred,N,0,2,No,NA,NA,,
39,28/06/2017,ENI,Near clearing,N,0,1,No,NA,NA,,
37,26/06/2017,ENI,Fire-scarred,N,0,2,No,NA,NA,,
36,26/06/2017,ENI,,N,0,1,No,NA,NA,,
35,26/06/2017,ENI,Fire-scarred,N,0,2,No,NA,NA,,
38,27/06/2017,ENI,,N,0,2,No,NA,NA,,
41,31/07/2017,ENI,,N,0,2,No,NA,NA,,
42,27/06/2017,ENI,,NA,NA,NA,No,NA,NA,,
43,11/07/2017,ENI,,N,0,2,No,NA,NA,,
,,,,,,,,,,,
20,16/08/2017,ENI,,N,3,3,No,NA,NA,,
21,16/08/2017,ENI,,N,2,2,No,NA,NA,,
22,16/08/2017,ENI,,N,2,2,No,NA,NA,,
23,22/08/2017,ENI,,N,1,1,No,NA,NA,,
24,16/08/2017,ENI,,N,2,2,No,NA,NA,,
25,16/08/2017,ENI,,N,2,2,No,NA,NA,,
26,16/08/2017,ENI,,N,1,1,No,NA,NA,,
27,22/08/2017,ENI,,N,2,2,No,NA,NA,,
28,22/08/2017,ENI,,N,2,2,No,NA,NA,,
29,22/08/2017,ENI,,N,1,1,No,NA,NA,,
30,22/08/2017,ENI,,N,3,3,No,NA,NA,,
31,22/08/2017,ENI,,N,2,2,No,NA,NA,,
32,22/08/2017,ENI,,N,1,1,No,NA,NA,,
33,22/08/2017,ENI,,N,2,2,No,NA,NA,,
34,22/08/2017,ENI,,N,2,2,No,NA,NA,,
40,22/08/2017,ENI,,N,1,1,No,NA,NA,,
39,22/08/2017,ENI,,N,3,3,No,NA,NA,,
37,22/08/2017,ENI,,N,3,3,No,NA,NA,,
36,22/08/2017,ENI,,N,1,1,No,NA,NA,,
35,22/08/2017,ENI,,N,2,2,No,NA,NA,,
38,22/08/2017,ENI,,N,2,2,No,NA,NA,,
41,22/08/2017,ENI,,N,2,2,No,NA,NA,,
42,22/08/2017,ENI,,N,1,1,No,NA,NA,,
43,16/08/2017,ENI,,N,2,2,No,NA,NA,,
,,,,,,,,,,,
20,18/09/2017,ENI,,N,0,3,No,100,100,,
21,18/09/2017,ENI,Aborted coco on ground,N,0,3,No,100,100,,
22,18/09/2017,ENI,,N,0,3,No,100,95,,
23,18/09/2017,ENI,,N,0,2,No,95,100,,
24,18/09/2017,ENI,,N,0,3,No,45,10,,
25,18/09/2017,ENI,,N,0,3,No,95,100,,
26,18/09/2017,ENI,,N,0,4,No,100,100,,
27,18/09/2017,ENI,A lot of aborted cocos on ground,N,0,3,No,100,95,,
28,18/09/2017,ENI,,N,0,3,No,70,50,,
29,18/09/2017,ENI,,N,0,3,No,85,75,,
30,19/09/2017,ENI,,N,0,4,No,85,50,,
31,19/09/2017,ENI,,N,0,3,No,95,90,,
32,19/09/2017,ENI,,N,0,2,No,85,65,,
33,19/09/2017,ENI,,N,0,2,No,95,100,,
34,19/09/2017,ENI,,N,0,3,No,65,50,,
40,19/09/2017,ENI,,N,0,2,No,95,95,,
39,19/09/2017,ENI,,N,0,3,No,25,5,,
37,19/09/2017,ENI,,N,0,3,No,50,15,,
36,19/09/2017,ENI,,D,0,0,No,40,10,,
35,19/09/2017,ENI,,N,0,2,No,90,100,,
38,19/09/2017,ENI,,N,0,3,No,90,85,,
41,19/09/2017,ENI,,N,0,4,No,90,90,,
42,18/09/2017,ENI,,N,0,2,No,80,80,,
43,18/09/2017,ENI,,N,0,3,No,85,90,,
,,,,,,,,,,,
20,03/10/2017,ENI,,N,0,4,No,95,95,,
21,03/10/2017,ENI,,N,0,3,No,90,95,,
22,03/10/2017,ENI,,N,0,3,No,85,85,,
23,03/10/2017,ENI,,N,0,2,No,95,100,,
24,03/10/2017,ENI,,N,0,3,No,75,100,,
25,03/10/2017,ENI,,N,0,1,No,95,100,,
26,03/10/2017,ENI,,N,0,3,No,90,100,,
27,03/10/2017,ENI,,N,0,3,No,80,90,,
28,03/10/2017,ENI,,N,0,3,No,75,100,,
29,03/10/2017,ENI,,N,0,3,No,95,100,,
30,03/10/2017,ENI,,N,0,4,No,65,100,,
31,03/10/2017,ENI,,N,0,3,No,10,40,,
32,03/10/2017,ENI,,N,0,2,No,90,100,,
33,03/10/2017,ENI,,N,0,3,No,90,100,,
34,03/10/2017,ENI,,N,0,4,No,65,75,,
40,03/10/2017,ENI,,N,0,3,No,80,100,,
39,03/10/2017,ENI,,N,0,4,No,75,85,,
37,03/10/2017,ENI,,N,0,3,No,95,90,,
36,03/10/2017,ENI,,D,0,0,No,90,95,,
35,03/10/2017,ENI,,N,0,2,No,90,100,,
38,03/10/2017,ENI,,N,0,3,No,90,100,,
41,03/10/2017,ENI,,N,0,3,No,60,100,,
42,03/10/2017,ENI,,N,0,2,No,80,100,,
43,03/10/2017,ENI,,N,0,2,No,45,95,,
,,,,,,,,,,,
20,16/10/2017,ENI,,N,0,3,No,20,50,,
21,16/10/2017,ENI,,N,0,3,No,15,0,,
22,16/10/2017,ENI,,N,0,4,No,40,40,,
23,16/10/2017,ENI,,N,0,1,No,95,100,,
24,16/10/2017,ENI,,N,0,4,No,95,100,,
25,16/10/2017,ENI,,N,0,1,No,95,100,,
26,16/10/2017,ENI,,N,0,3,No,100,100,,
27,16/10/2017,ENI,,N,0,4,No,40,5,,
28,16/10/2017,ENI,,N,0,4,No,95,100,,
29,16/10/2017,ENI,,N,0,4,No,100,100,,
30,16/10/2017,ENI,,N,0,4,No,95,100,,
31,16/10/2017,ENI,,N,0,3,No,40,50,,
32,16/10/2017,ENI,,N,0,1,No,85,100,,
33,16/10/2017,ENI,,N,0,3,No,100,100,,
34,16/10/2017,ENI,,N,0,3,No,95,100,,
40,16/10/2017,ENI,,N,0,4,No,95,100,,
39,16/10/2017,ENI,,N,0,4,No,95,100,,
37,16/10/2017,ENI,,N,0,3,No,90,100,,
36,16/10/2017,ENI,,D,0,0,No,95,100,,
35,16/10/2017,ENI,,N,0,3,No,95,100,,
38,16/10/2017,ENI,,N,0,4,No,100,100,,
41,16/10/2017,ENI,,N,0,3,No,90,100,,
