Tree,Date,Observers,Note,Phase,# Old Bracts,% Old Fruit,Color Old Fruit (1-3),# New Bracts,% New Fruit,Color New Fruit (1-3),Flowers on ground (0-3),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,01/07/2017,ENI,,D,1,0,0,0,0,No,0,,,,,,,,,,,,,,
1,01/07/2017,ENI,,D,4,0,0,0,0,No,0,,,,,,,,,,,,,,
18,01/07/2017,ENI,,M,5,425,0,0,0,No,0,,,,,,,,,,,,,,
19,01/07/2017,ENI,,M,7,575,0,0,0,No,0,,,,,,,,,,,,,,
2,01/07/2017,ENI,,D,5,0,0,0,0,No,0,,,,,,,,,,,,,,
3,01/07/2017,ENI,,P,3,0,0,0,0,No,0,,,,,,,,,,,,,,
15,01/07/2017,ENI,,M,3,300,0,0,0,No,0,,,,,,,,,,,,,,
10,01/07/2017,ENI,,M,5,150,0,0,0,No,0,,,,,,,,,,,,,,
5,01/07/2017,ENI,,D,7,0,0,0,0,No,0,,,,,,,,,,,,,,
14,01/07/2017,ENI,,M,5,450,0,0,0,No,0,,,,,,,,,,,,,,
7,01/07/2017,ENI,NB: Correct coordinates are in GPS as the SE point named 11MFA106. There are two 11MFA106s; disregard NW one.,P,5,0,0,0,0,No,0,,,,,,,,,,,,,,
8,01/07/2017,ENI,,P,5,0,0,0,0,No,0,,,,,,,,,,,,,,
4,01/07/2017,ENI,,P,1,0,0,0,0,No,0,,,,,,,,,,,,,,
9,01/07/2017,NA,"Moved 21 Jul 2017. Previously at 110009MAFLM (-69.1185833, -12.2247) . Old tree pheno on 1 Jul 2017: 0 bracts 0 flowers",NA,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,,
6,01/07/2017,ENI,,P,4,0,0,0,0,No,0,,,,,,,,,,,,,,
13,01/07/2017,ENI,,M,4,375,0,0,0,No,0,,,,,,,,,,,,,,
12,01/07/2017,ENI,,M,8,500,0,0,0,No,0,,,,,,,,,,,,,,
16,01/07/2017,ENI,,M,6,50,0,0,0,No,0,,,,,,,,,,,,,,
11,01/07/2017,NA,"Moved 1 tree over for better view of canopy. Remarked once previously. Old note : ""Former GPS point: 11MFA047 (-69.11803203, -12.22634596). Re-marked for accuracy."" Old GPS: 11REAL0011MAFLF",NA,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,,
17,01/07/2017,NA,"Old one too young, not reproductive. Moved 8/24/17. Old GPS: 11MFA015",NA,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,21/07/2017,ENI,,P,1,0,0,0,0,No,0,,,,,,,,,,,,,,
1,21/07/2017,ENI,,P,4,0,0,0,0,No,0,,,,,,,,,,,,,,
18,21/07/2017,ENI,,M,5,425,0,0,0,No,0,,,,,,,,,,,,,,
19,21/07/2017,ENI,,M,5,450,0,0,0,No,0,,,,,,,,,,,,,,
2,21/07/2017,ENI,,P,5,0,0,0,0,No,0,,,,,,,,,,,,,,
3,21/07/2017,ENI,,D,0,0,0,0,0,No,0,,,,,,,,,,,,,,
15,21/07/2017,ENI,,M,2,200,0,0,0,No,0,,,,,,,,,,,,,,
10,28/07/2017,ENI,,M,5,150,0,0,0,No,0,,,,,,,,,,,,,,
5,28/07/2017,ENI,,P,4,0,0,0,0,No,0,,,,,,,,,,,,,,
14,28/07/2017,ENI,,M,4,275,0,0,0,No,0,,,,,,,,,,,,,,
7,21/07/2017,ENI,,P,4,0,0,0,0,No,0,,,,,,,,,,,,,,
8,21/07/2017,ENI,,D,0,0,0,0,0,No,0,,,,,,,,,,,,,,
4,28/07/2017,ENI,,D,0,0,0,0,0,No,0,,,,,,,,,,,,,,
9,29/07/2017,ENI,,D,0,0,0,0,0,No,0,,,,,,,,,,,,,,
6,28/07/2017,ENI,,P,4,0,0,0,0,No,0,,,,,,,,,,,,,,
13,28/07/2017,ENI,,M,3,200,0,0,0,No,0,,,,,,,,,,,,,,
12,28/07/2017,ENI,,M,8,475,0,0,0,No,0,,,,,,,,,,,,,,
16,28/07/2017,ENI,,M,6,25,0,0,0,No,0,,,,,,,,,,,,,,
11,28/07/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,,
17,28/07/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,24/08/2017,ENI,,D,1,0,0,0,0,No,0,,,,,,,,,,,,,,
1,24/08/2017,ENI,,D,4,0,0,0,0,No,0,,,,,,,,,,,,,,
18,24/08/2017,ENI,,M,5,450,0,0,0,No,0,,,,,,,,,,,,,,
19,24/08/2017,ENI,,M,6,475,0,0,0,No,0,,,,,,,,,,,,,,
2,24/08/2017,ENI,,P,4,0,0,0,0,No,0,,,,,,,,,,,,,,
3,24/08/2017,ENI,,D,0,0,0,0,0,No,0,,,,,,,,,,,,,,
15,24/08/2017,ENI,,M,2,175,0,0,0,No,0,,,,,,,,,,,,,,
10,24/08/2017,ENI,,M,4,100,0,0,0,No,0,,,,,,,,,,,,,,
5,24/08/2017,ENI,,P,4,0,0,0,0,No,0,,,,,,,,,,,,,,
14,24/08/2017,ENI,,M,5,375,0,0,0,No,0,,,,,,,,,,,,,,
7,24/08/2017,ENI,,P,4,0,0,0,0,No,0,,,,,,,,,,,,,,
8,24/08/2017,ENI,,D,0,0,0,0,0,No,0,,,,,,,,,,,,,,
4,24/08/2017,ENI,,D,0,0,0,0,0,No,0,,,,,,,,,,,,,,
9,24/08/2017,ENI,,D,0,0,0,0,0,No,0,,,,,,,,,,,,,,
6,24/08/2017,ENI,,P,1,0,0,0,0,No,0,,,,,,,,,,,,,,
13,24/08/2017,ENI,,M,3,250,0,0,0,No,0,,,,,,,,,,,,,,
12,24/08/2017,ENI,,M,6,475,0,0,0,No,0,,,,,,,,,,,,,,
16,24/08/2017,ENI,,M,3,25,0,0,0,No,0,,,,,,,,,,,,,,
11,24/08/2017,ENI,,M,3,175,0,0,0,No,0,,,,,,,,,,,,,,
17,24/08/2017,ENI,,M,5,450,0,0,0,No,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,07/09/2017,ENI,,P,1,0,0,0,0,No,0,,,,,,,,,,,,,,
1,07/09/2017,ENI,,P,2,0,0,0,0,No,0,,,,,,,,,,,,,,
18,07/09/2017,ENI,,M,4,320,0,0,0,No,0,,,,,,,,,,,,,,
19,07/09/2017,ENI,,M,7,575,0,0,0,No,0,,,,,,,,,,,,,,
2,07/09/2017,ENI,,P,3,0,0,0,0,No,0,,,,,,,,,,,,,,
3,07/09/2017,ENI,,D,0,0,0,0,0,No,0,,,,,,,,,,,,,,
15,07/09/2017,ENI,,M,2,175,0,0,0,No,0,,,,,,,,,,,,,,
10,07/09/2017,ENI,,M,4,110,0,0,0,No,0,,,,,,,,,,,,,,
5,07/09/2017,ENI,,P,7,0,0,0,0,No,0,,,,,,,,,,,,,,
14,07/09/2017,ENI,,M,5,375,0,0,0,No,0,,,,,,,,,,,,,,
7,08/09/2017,ENI,,P,3,0,0,0,0,No,0,,,,,,,,,,,,,,
8,08/09/2017,ENI,,D,0,0,0,0,0,No,0,,,,,,,,,,,,,,
4,08/09/2017,ENI,,D,0,0,0,0,0,No,0,,,,,,,,,,,,,,
9,08/09/2017,ENI,,D,0,0,0,0,0,No,0,,,,,,,,,,,,,,
6,08/09/2017,ENI,,P,2,0,0,0,0,No,0,,,,,,,,,,,,,,
13,08/09/2017,ENI,,M,4,325,0,0,0,No,0,,,,,,,,,,,,,,
12,08/09/2017,ENI,,M,6,450,0,0,0,No,0,,,,,,,,,,,,,,
16,08/09/2017,ENI,,M,3,15,0,0,0,No,0,,,,,,,,,,,,,,
11,08/09/2017,ENI,,M,3,155,0,0,0,No,0,,,,,,,,,,,,,,
17,08/09/2017,ENI,,M,5,360,0,0,0,No,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,28/09/2017,ENI,,P,1,0,0,0,0,No,0,,,,,,,,,,,,,,
1,28/09/2017,ENI,,P,3,0,0,0,0,No,0,,,,,,,,,,,,,,
18,28/09/2017,ENI,,M,5,450,0,0,0,No,0,,,,,,,,,,,,,,
19,28/09/2017,ENI,,M,5,400,0,0,0,No,0,,,,,,,,,,,,,,
2,28/09/2017,ENI,,P,4,0,0,0,0,No,0,,,,,,,,,,,,,,
3,28/09/2017,ENI,,P,3,0,0,0,0,No,0,,,,,,,,,,,,,,
15,28/09/2017,ENI,,M,2,150,0,0,0,No,0,,,,,,,,,,,,,,
10,28/09/2017,ENI,,M,4,125,0,0,0,No,0,,,,,,,,,,,,,,
5,28/09/2017,ENI,,P,6,0,0,0,0,No,0,,,,,,,,,,,,,,
14,28/09/2017,ENI,,M,4,350,0,0,0,No,0,,,,,,,,,,,,,,
7,28/09/2017,ENI,,P,5,0,0,0,0,No,0,,,,,,,,,,,,,,
8,28/09/2017,ENI,,P,5,0,0,0,0,No,0,,,,,,,,,,,,,,
4,28/09/2017,ENI,,P,1,0,0,0,0,No,0,,,,,,,,,,,,,,
9,28/09/2017,ENI,,D,0,0,0,0,0,No,0,,,,,,,,,,,,,,
6,28/09/2017,ENI,,P,4,0,0,0,0,No,0,,,,,,,,,,,,,,
13,28/09/2017,ENI,,M,4,375,0,0,0,No,0,,,,,,,,,,,,,,
12,28/09/2017,ENI,,M,6,475,0,0,0,No,0,,,,,,,,,,,,,,
16,28/09/2017,ENI,,P,4,0,0,0,0,No,0,,,,,,,,,,,,,,
11,28/09/2017,ENI,,M,2,80,0,0,0,No,0,,,,,,,,,,,,,,
17,28/09/2017,ENI,,M,5,400,0,0,0,No,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,10/10/2017,JS,,P,1,0,0,0,0,No,0,,,,,,,,,,,,,,
1,10/10/2017,JS,,P,3,0,0,0,0,No,0,,,,,,,,,,,,,,
18,10/10/2017,JS,,M,5,485,0,0,0,No,0,,,,,,,,,,,,,,
19,10/10/2017,JS,,M,6,585,0,0,0,No,0,,,,,,,,,,,,,,
2,10/10/2017,JS,,P,3,0,0,0,0,No,0,,,,,,,,,,,,,,
3,10/10/2017,JS,,P,2,0,0,0,0,No,0,,,,,,,,,,,,,,
15,10/10/2017,JS,,M,2,100,0,0,0,No,0,,,,,,,,,,,,,,
10,10/10/2017,JS,,M,4,95,0,0,0,No,0,,,,,,,,,,,,,,
5,10/10/2017,JS,,P,4,0,0,0,0,No,0,,,,,,,,,,,,,,
14,10/10/2017,JS,,M,4,390,0,0,0,No,0,,,,,,,,,,,,,,
7,10/10/2017,JS,,P,3,0,0,0,0,No,0,,,,,,,,,,,,,,
8,12/10/2017,JS,,P,6,0,0,0,0,No,0,,,,,,,,,,,,,,
